序号,province,year,文件名,topic,topic_name,topic_main_dimension,topic_secondary_code,topic_secondary_name,topic_match_strength
423,浙江省,2017,金华市人民政府办公室转发市财政局等《关于明...(FBM-CLI.12.1511270).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.625
424,浙江省,2017,长兴县人民政府办公室关于推广运用政府和社会...(FBM-CLI.12.8059240).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
425,浙江省,2018,杭州市发展和改革委员会、杭州市财政局关于组...(FBM-CLI.14.7185919).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
426,浙江省,2018,永康市人民政府关于印发永康市政府和社会资本...(FBM-CLI.12.8264372).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
427,浙江省,2018,浙江省发展改革委关于公布浙江省传统基础设施...(FBM-CLI.14.5043262).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
428,浙江省,2018,浙江省发展改革委关于发布向民间资本推介的传...(FBM-CLI.14.5043020).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
429,浙江省,2018,浦江县人民政府办公室关于印发浦江县政府和社...(FBM-CLI.12.8266201).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
430,浙江省,2018,绍兴市越城区人民政府办公室关于成立绍兴市越...(FBM-CLI.12.8244354).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
431,浙江省,2018,绍兴市越城区人民政府办公室关于成立绍兴市马...(FBM-CLI.12.8244984).txt,19,19_副局长_主任_领导小组_局长,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
432,浙江省,2019,天台县人民政府关于印发《政府会计准则第10号...(FBM-CLI.14.8300869).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.0
433,浙江省,2019,宁波市人民政府办公厅关于进一步推进政府和社...(FBM-CLI.14.1500148).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
434,浙江省,2019,杭州市余杭区人民政府办公室关于印发《余杭区...(FBM-CLI.12.7915957).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
435,浙江省,2019,杭州市发展和改革委员会、杭州市财政局关于发...(FBM-CLI.14.7185911).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
436,浙江省,2020,杭州市发展和改革委员会、杭州市财政局关于发...(FBM-CLI.14.7185904).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
437,浙江省,2020,杭州市富阳区人民政府办公室关于印发杭州市富...(FBM-CLI.12.7900668).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
438,浙江省,2020,杭州市律师协会政府和社会资本合作(PPP)专业委员...(FBM-CLI.14.1706228).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.25
439,浙江省,2021,杭州市发展和改革委员会、杭州市财政局关于发...(FBM-CLI.14.5054999).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
440,浙江省,2021,杭州市富阳区人民政府办公室关于印发富阳区政...(FBM-CLI.12.7900928).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.125
441,浙江省,2021,浙江省交通运输厅关于印发《浙江省交通建设项...(FBM-CLI.12.4214344).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
442,浙江省,2022,杭州市律师协会政府和社会资本合作(PPP)专业委员...(FBM-CLI.14.7297965).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.25
443,浙江省,2023,杭州市律师协会关于调整政府与社会资本合作(...(FBM-CLI.14.7279449).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.125
444,浙江省,2024,宁波市财政局关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7705007).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.75
445,河南省,2014,河南省人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1014478).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
446,河南省,2015,周口市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1121587).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
447,河南省,2015,周口市人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.2323774).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
448,河南省,2015,安阳市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1121937).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
449,河南省,2015,安阳市人民政府办公室关于印发安阳市政府和社...(FBM-CLI.14.1147526).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.75
450,河南省,2015,新乡市人民政府关于成立政府和社会资本合作模...(FBM-CLI.14.1120827).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
451,河南省,2015,新乡市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1059677).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.75
452,河南省,2015,河南省人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1049661).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
453,河南省,2015,河南省发展和改革委员会、国家开发银行河南省...(FBM-CLI.14.4469052).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125
454,河南省,2015,濮阳市人民政府关于成立濮阳市政府和社会资本...(FBM-CLI.14.1150325).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
455,河南省,2015,濮阳市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1150308).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
456,河南省,2015,焦作市人民政府关于创新重点领域投融资机制鼓...(FBM-CLI.12.1149795).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
457,河南省,2015,许昌市人民政府办公室关于印发许昌市推广运用...(FBM-CLI.12.1175373).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
458,河南省,2015,郑州市人民政府关于成立郑州市政府和社会资本...(FBM-CLI.14.4056298).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
459,河南省,2015,郑州市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1134052).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,1.0
460,河南省,2015,郑州市人民政府办公厅关于印发郑州市政府和社...(FBM-CLI.12.4055812).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.0
461,河南省,2015,郑州市政府关于印发郑州市2015年政府和社会资本...(FBM-CLI.12.4055810).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.0
462,河南省,2015,郑州市财政局关于印发《郑州市政府和社会资本...(FBM-CLI.12.7758505).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.0
463,河南省,2015,驻马店市人民政府关于成立政府和社会资本合作...(FBM-CLI.14.1121433).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
464,河南省,2015,驻马店市人民政府关于转发《河南省人民政府关...(FBM-CLI.12.1075225).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
465,河南省,2015,鹤壁市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1122003).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
466,河南省,2016,商丘市人民政府办公室关于印发商丘市城区基础...(FBM-CLI.12.1226034).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.125
467,河南省,2016,河南省发展和改革委员会关于做好传统基础设施...(FBM-CLI.14.7758500).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
468,河南省,2016,河南省发展和改革委员会关于建立基础设施政府...(FBM-CLI.14.4468660).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.5
469,河南省,2016,洛阳市人民政府关于推进海绵城市建设工作的实...(FBM-CLI.14.1236481).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
470,河南省,2016,洛阳市人民政府办公室关于印发洛阳市促进民间...(FBM-CLI.14.1236496).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
471,河南省,2016,郑州市人民政府办公厅关于印发郑州市政府2016年...(FBM-CLI.14.1188554).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
472,河南省,2016,驻马店市人民政府关于推广运用政府和社会资本...(FBM-CLI.12.1247153).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.875
473,河南省,2017,开封市政府办公室关于印发开封市政府和社会资...(FBM-CLI.12.1293294).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
474,河南省,2017,河南省交通运输厅关于印发河南省普通公路政府...(FBM-CLI.14.4487547).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
475,河南省,2017,焦作市人民政府办公室关于做好2017年第一季度重...(FBM-CLI.14.1289450).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.125
476,河南省,2017,许昌市人民政府办公室关于印发许昌市创建全国...(FBM-CLI.14.1461791).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
477,河南省,2018,安阳市人民政府办公室关于优化营商环境激发民...(FBM-CLI.12.1525680).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
478,河南省,2018,河南省发展和改革委员会关于鼓励民间资本参与...(FBM-CLI.12.4476814).txt,20,20_民间_民间 投资_企业_政务,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.5
479,河南省,2018,河南省机关事务管理局关于申请省直青年人才公...(FBM-CLI.14.3411312).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
480,河南省,2019,河南省发展和改革委员会关于建立政府和社会资...(FBM-CLI.14.4467779).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
481,河南省,2019,焦作市人民政府关于进一步规范政府权力运行提...(FBM-CLI.12.1528992).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.0
482,河南省,2019,驻马店市人民政府办公室关于印发《关于建立政...(FBM-CLI.14.1524034).txt,14,14_行业_行业 主管部门_物有所值_采购,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
483,河南省,2020,河南省发展和改革委员会关于抓紧报送绿色政府...(FBM-CLI.14.4481398).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.875
484,河南省,2022,河南省财政厅关于公布继续有效及废止和失效的...(FBM-CLI.12.5643046).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.5
485,河南省,2022,河南省财政厅关于转发财政部《政府和社会资本...(FBM-CLI.14.5061753).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
486,河南省,2023,开封市人民政府办公室关于成立政府和社会资本...(FBM-CLI.14.7346151).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
487,河南省,2024,河南省财政厅关于公布继续有效及废止和失效的...(FBM-CLI.12.8442773).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.5
488,河北省,2014,承德市人民政府办公室关于成立承德市推广政府...(FBM-CLI.14.1017432).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
489,河北省,2014,河北省人民政府关于推广政府和社会资本合作(...(FBM-CLI.12.1016236).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
490,河北省,2015,唐山市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1077408).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
491,河北省,2015,沧州市人民政府关于推进政府和社会资本合作的...(FBM-CLI.14.1109408).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
492,河北省,2015,河北省人民政府办公厅转发省财政厅省发展改革...(FBM-CLI.12.1138149).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.375
493,河北省,2015,河北省发展和改革委员会关于全力做好政府和社...(FBM-CLI.12.1080161).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
494,河北省,2015,河北省财政厅关于公布第一批政府与社会资本合...(FBM-CLI.14.7230314).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.125
495,河北省,2015,石家庄市人民政府办公厅关于落实河北省人民政...(FBM-CLI.12.1078410).txt,8,8_运用_推广 运用_运用 政府_领导小组,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.5
496,河北省,2015,邯郸市人民政府办公厅关于推广政府和社会资本...(FBM-CLI.12.2662688).txt,22,22_运用_推广 运用_运用 政府_相对,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.625
497,河北省,2016,河北省住房和城乡建设厅关于开展市政基础设施...(FBM-CLI.12.1159902).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
498,河北省,2016,河北省发展和改革委员会、河北省农业厅、河北...(FBM-CLI.12.2062492).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
499,河北省,2016,河北省发展和改革委员会关于转发国家发展改革...(FBM-CLI.14.2058983).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
500,河北省,2016,河北省发展和改革委员会转发国家发展改革委关...(FBM-CLI.14.2032366).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
501,河北省,2016,河北省财政厅关于做好2016年普惠金融发展专项资...(FBM-CLI.14.1227851).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.625
502,河北省,2016,河北省财政厅转发财政部等20部委《关于联合公...(FBM-CLI.14.1234187).txt,13,13_申报_第四批_第三批_申报 筛选,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
503,河北省,2016,衡水市人民政府办公室关于进一步加强市政重点...(FBM-CLI.14.1218925).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
504,河北省,2016,衡水市人民政府办公室转发市财政局市发改委人...(FBM-CLI.12.1224356).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
505,河北省,2016,邯郸市人民政府办公厅关于印发邯郸市2016年政府...(FBM-CLI.14.1176197).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
506,河北省,2017,中共石家庄市委、石家庄市人民政府关于深化投...(FBM-CLI.12.1284498).txt,10,10_债务_预算_基金_政府 债务,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.0
507,河北省,2017,河北省人民政府办公厅关于推动非户籍人口在城...(FBM-CLI.12.1255221).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
508,河北省,2017,河北省住房和城乡建设厅关于在市政基础设施领...(FBM-CLI.12.1420859).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.25
509,河北省,2017,河北省财政厅关于印发《河北省省级政府和社会...(FBM-CLI.12.1257416).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.75
510,河北省,2017,衡水市人民政府办公室关于推动非户籍人口在城...(FBM-CLI.12.1290824).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
511,河北省,2017,邢台市人民政府办公室关于推动非户籍人口在城...(FBM-CLI.12.1282279).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
512,河北省,2017,邯郸市人民政府办公厅关于推动非户籍人口在城...(FBM-CLI.12.1285309).txt,17,17_落户_人口_就业_城镇化,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
513,河北省,2018,河北省发展和改革委员会、河北省水利厅关于转...(FBM-CLI.14.2068442).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
514,河北省,2018,邢台市财政局关于征集建立邢台市PPP咨询机构库...(FBM-CLI.14.3830184).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
515,河北省,2019,保定市人民政府对政协保定市第十三届委员会第...(FBM-CLI.14.8602308).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
516,河北省,2019,河北省财政厅关于印发《河北省政府和社会资本...(FBM-CLI.12.7734801).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.5
517,河北省,2019,邯郸市人民政府关于以政府和社会资本合作模式...(FBM-CLI.14.1538003).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.125
518,河北省,2020,张家口市人民政府办公室关于明确PPP项目管理有...(FBM-CLI.12.8599883).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.125
519,河北省,2020,承德市人民政府关于《首都地区环线高速公路(...(FBM-CLI.15.1681309).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.375
520,河北省,2020,河北省住房和城乡建设厅办公室关于转发污水处...(FBM-CLI.14.1577050).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
521,河北省,2021,张家口市财政局关于进一步做好政府和社会资本...(FBM-CLI.14.8608001).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
522,河北省,2021,河北省财政厅、河北省商务厅关于印发《河北省...(FBM-CLI.12.4848759).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
523,河北省,2021,河北省财政厅、河北省文化和旅游厅关于印发《...(FBM-CLI.12.4848755).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
524,河北省,2021,河北省财政厅关于进一步做好政府和社会资本合...(FBM-CLI.12.4848754).txt,11,11_绩效_综合信息 平台_综合信息_整改,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.625
525,河北省,2022,邯郸市人民政府关于邯郸市城区污水处理能力提...(FBM-CLI.14.5610221).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
526,河北省,2023,河北省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7325078).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.875
527,河北省,2024,河北省财政厅关于废止政府和社会资本合作(PPP)有...(FBM-CLI.12.7425502).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.875
528,江西省,2015,九江市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1156551).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,1.0
529,江西省,2015,南昌市人民政府关于公布《南昌市政府与社会资...(FBM-CLI.14.1034592).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.25
530,江西省,2015,南昌市人民政府关于印发《南昌市推广政府与社...(FBM-CLI.12.1034594).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.75
531,江西省,2015,南昌市财政局关于转发《江西省财政厅转发财政...(FBM-CLI.12.6091581).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.25
532,江西省,2015,吉安市人民政府关于印发吉安市推行政府和社会...(FBM-CLI.12.1132353).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
533,江西省,2015,抚州市人民政府关于印发抚州市本级政府和社会...(FBM-CLI.12.2330372).txt,16,16_运营 移交_移交_特许_经营,项目识别与前端规范准入,B1,项目识别、筛选与入库,0.375
534,江西省,2015,新余市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1103612).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.5
535,江西省,2015,新余市人民政府办公室关于成立新余市推进政府...(FBM-CLI.14.1105462).txt,3,3_局长_主任_领导小组_局局长,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
536,江西省,2015,景德镇市人民政府办公室关于印发景德镇市推广...(FBM-CLI.12.1101851).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.875
537,江西省,2015,江西省人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1086272).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
538,江西省,2015,江西省人民政府办公厅转发省财政厅、省发改委...(FBM-CLI.12.1117545).txt,21,21_目标 社会_合理_运用_平等,采购交易、合同安排与执行绩效,C2,合同设计、权责配置与收益安排,0.25
539,江西省,2015,江西省住房和城乡建设厅关于转发全国市长研修...(FBM-CLI.14.2210989).txt,5,5_住房_管廊_污水处理_城乡,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.25
540,江西省,2015,江西省发展改革委转发国家发展改革委办公厅关...(FBM-CLI.12.2215088).txt,1,1_证券化_资产 证券化_国家 发展_证券,采购交易、合同安排与执行绩效,C1,社会资本采购与竞争配置,0.125
541,江西省,2015,江西省财政厅办公室关于世行集团将授政府和社...(FBM-CLI.15.1210704).txt,4,4_废止_财政厅 财政部_财金_文件目录,数字治理接口与数据协同,A3,信息公开与透明协同,0.0
542,江西省,2015,萍乡市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1156545).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.375
543,江西省,2015,赣州市人民政府关于开展政府和社会资本合作的...(FBM-CLI.14.1114017).txt,23,23_风险_运用_承担_推广 运用,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.625
544,江西省,2016,江西省发展改革委、江西省财政厅关于召开江西...(FBM-CLI.14.1248025).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
545,江西省,2016,江西省发展改革委、江西省财政厅关于召开赣江...(FBM-CLI.14.1243725).txt,0,0_四川省_四川省 财政厅_综合 补助_财政厅 四川省,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
546,江西省,2016,江西省发展改革委关于印发政府和社会资本合作...(FBM-CLI.14.1213047).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
547,江西省,2016,江西省发展改革委关于召开2016年全省政府和社会...(FBM-CLI.14.1213046).txt,15,15_改革 委员会_国家 发展_云南省_陕西省政府,采购交易、合同安排与执行绩效,C3,项目执行、绩效评价与运营维护,0.0
548,江西省,2016,江西省财政厅关于征集政府与社会资本合作(PPP)专...(FBM-CLI.14.1210665).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.625
549,江西省,2016,江西省财政厅关于征集政府和社会资本合作(PPP)咨...(FBM-CLI.14.1210662).txt,9,9_专家_机构_咨询服务_咨询服务 机构,项目识别与前端规范准入,B2,财政承受能力与物有所值论证,0.875
550,江西省,2016,赣州市人民政府办公厅关于印发《关于支持推广...(FBM-CLI.14.5947543).txt,6,6_奖励_普惠_奖代补_普惠 金融,数字治理接口与数据协同,A3,信息公开与透明协同,0.375
551,江西省,2016,鹰潭市人民政府办公室关于印发2016年鹰潭市政府...(FBM-CLI.14.1252446).txt,18,18_批复_工程_高速公路_公里,项目识别与前端规范准入,B3,实施方案设计与审批程序,0.0
